	Word	Count
0	new york	16336
1	room service	14894
2	staff friendly	12333
3	times square	11753
4	great location	11496
5	room clean	11378
6	hotel room	10196
7	stay hotel	9976
8	desk staff	9707
9	walking distance	9676
10	stayed hotel	9580
11	room small	8961
12	customer service	8590
13	hotel staff	8016
14	stayed nights	7804
15	credit card	7636
16	good location	7377
17	called desk	7288
18	location great	7252
19	night stay	7046
20	got room	6963
21	ve stayed	6716
22	san francisco	6649
23	didn work	6394
24	air conditioning	6377
25	star hotel	6359
26	rooms small	6348
27	looked like	6252
28	place stay	6233
29	parking lot	6153
30	recommend hotel	6119
31	hotel great	6069
32	holiday inn	6050
33	friendly helpful	6045
34	hot water	5995
35	bed comfortable	5984
36	non smoking	5786
37	room room	5622
38	did work	5580
39	san diego	5561
40	desk clerk	5551
41	hotel good	5431
42	smoking room	5365
43	continental breakfast	5172
44	make sure	5120
45	union square	5109
46	rooms clean	5091
47	central park	5030
48	location good	4998
49	room nice	4982
50	wi fi	4979
51	booked hotel	4887
52	hotel location	4788
53	valet parking	4741
54	hotel rooms	4722
55	free breakfast	4661
56	staff helpful	4582
57	stayed night	4570
58	location hotel	4567
59	hotel nice	4555
60	felt like	4546
61	das hotel	4451
62	don know	4438
63	room ready	4366
64	clean room	4337
65	nice hotel	4296
66	10 minutes	4290
67	staff nice	4260
68	room hotel	4152
69	booked room	4149
70	15 minutes	4133
71	internet access	4056
72	air conditioner	4002
73	20 minutes	3988
74	double beds	3915
75	room did	3846
76	floor room	3806
77	hotel just	3793
78	new room	3764
79	mini bar	3659
80	don think	3644
81	beds comfortable	3609
82	blocks away	3601
83	coffee maker	3560
84	staying hotel	3547
85	king bed	3543
86	30 minutes	3537
87	hotel located	3512
88	late night	3469
89	breakfast buffet	3451
90	free internet	3441
91	flat screen	3420
92	hotel clean	3409
93	bathroom small	3401
94	good value	3398
95	bed bugs	3345
96	good thing	3331
97	convention center	3289
98	hotel stay	3276
99	business center	3275
100	pool area	3269
101	free wifi	3214
102	small room	3179
103	bed room	3131
104	minute walk	3123
105	year old	3114
106	pretty good	3086
107	night room	3079
108	went desk	3052
109	feel like	3051
110	water pressure	3033
111	good hotel	3031
112	given room	3020
113	clean comfortable	3001
114	room just	2992
115	night hotel	2990
116	room cleaned	2986
117	early morning	2981
118	size bed	2975
119	street noise	2929
120	business trip	2924
121	parking garage	2909
122	hotel did	2892
123	hotel lobby	2847
124	needless say	2842
125	free parking	2841
126	room bathroom	2830
127	room smelled	2827
128	looks like	2815
129	la chambre	2760
130	king size	2758
131	didn want	2750
132	room wasn	2729
133	told room	2729
134	arrived hotel	2725
135	room door	2724
136	smelled like	2708
137	hotel hotel	2693
138	desk told	2673
139	worst hotel	2670
140	wireless internet	2666
141	friendly staff	2665
142	hotel stayed	2624
143	read reviews	2612
144	don expect	2595
145	second night	2570
146	time room	2564
147	fitness center	2561
148	years ago	2552
149	room didn	2548
150	stay room	2540
151	rooms available	2534
152	really nice	2516
153	el hotel	2512
154	called hotel	2510
155	went room	2508
156	night sleep	2501
157	empire state	2485
158	rooms nice	2484
159	room available	2476
160	time square	2475
161	room good	2466
162	room key	2463
163	minutes later	2459
164	nice room	2456
165	hotel really	2455
166	hotel restaurant	2452
167	stay away	2439
168	room got	2424
169	bathroom door	2421
170	check time	2405
171	big deal	2402
172	service good	2397
173	good deal	2325
174	view room	2316
175	nous avons	2309
176	long time	2306
177	best western	2301
178	hot tub	2300
179	king room	2299
180	screen tv	2290
181	en el	2283
182	double bed	2281
183	nice clean	2270
184	wouldn stay	2251
185	san antonio	2240
186	day stay	2238
187	desk said	2223
188	second floor	2216
189	room night	2203
190	hotel does	2203
191	room ok	2202
192	room rate	2201
193	room large	2197
194	room tiny	2190
195	00 night	2172
196	asked room	2169
197	room bed	2163
198	breakfast included	2160
199	hotel close	2159
