	Word	Count
0	hotel	455184
1	room	449145
2	stay	143569
3	rooms	126552
4	night	123427
5	staff	106894
6	good	106087
7	just	96866
8	desk	92020
9	location	89602
10	stayed	88387
11	nice	86109
12	did	84993
13	service	84377
14	like	81852
15	time	77468
16	bed	77051
17	great	75221
18	clean	72069
19	day	69078
20	small	66894
21	place	65738
22	breakfast	65542
23	bathroom	64353
24	didn	62014
25	floor	60783
26	check	59632
27	la	58669
28	got	55993
29	told	55503
30	really	54440
31	area	53471
32	lobby	49043
33	parking	49023
34	door	47918
35	people	47327
36	hotels	46983
37	don	45529
38	said	45111
39	price	42259
40	free	41058
41	old	40693
42	new	40320
43	asked	39640
44	went	39377
45	better	39019
46	little	38292
47	shower	37670
48	called	36809
49	morning	36236
50	booked	35932
51	friendly	35859
52	bad	35244
53	street	35154
54	right	34298
55	water	34215
56	nights	34057
57	times	33858
58	bar	33568
59	way	33290
60	walk	31742
61	work	31470
62	pool	31369
63	restaurant	31320
64	minutes	31270
65	comfortable	31247
66	beds	31155
67	noise	31045
68	internet	30179
69	close	30099
70	away	29894
71	food	29431
72	want	29402
73	business	29390
74	checked	29187
75	going	29116
76	make	29054
77	need	29019
78	left	28567
79	use	28142
80	bit	27894
81	sleep	27882
82	view	27685
83	say	27668
84	think	27666
85	lot	27618
86	car	27608
87	ok	27412
88	manager	27258
89	coffee	27221
90	staying	26979
91	10	26903
92	wasn	26617
93	tv	26542
94	arrived	26502
95	helpful	26231
96	know	25987
97	experience	25807
98	quite	25408
99	problem	25251
100	took	25083
101	pay	24815
102	days	24560
103	que	24356
104	dirty	24332
105	non	24050
106	overall	23932
107	en	23655
108	long	23615
109	park	23216
110	came	22956
111	money	22824
112	rate	22772
113	city	22755
114	outside	22686
115	pretty	22682
116	square	22659
117	trip	22507
118	best	22231
119	thing	22120
120	ve	21973
121	looked	21940
122	paid	21896
123	guests	21894
124	fine	21677
125	air	21622
126	sure	21575
127	le	21359
128	hot	20994
129	large	20877
130	come	20778
131	recommend	20728
132	und	20544
133	looking	20484
134	big	20442
135	available	20411
136	things	20309
137	inn	20268
138	walking	20107
139	given	20082
140	30	19881
141	open	19803
142	charge	19738
143	towels	19704
144	elevator	19678
145	size	19373
146	die	19351
147	look	19103
148	airport	18736
149	reviews	18631
150	downtown	18588
151	used	18566
152	suite	18486
153	hours	18460
154	wanted	18417
155	das	18233
156	phone	18228
157	feel	18228
158	person	18219
159	property	18100
160	il	18007
161	building	17876
162	reception	17564
163	thought	17560
164	expect	17545
165	di	17544
166	felt	17407
167	es	17341
168	needed	17259
169	00	17217
170	early	17064
171	late	17042
172	hour	16998
173	restaurants	16996
174	san	16970
175	second	16968
176	center	16934
177	star	16920
178	hear	16907
179	having	16825
180	york	16781
181	man	16707
182	couldn	16656
183	et	16590
184	reservation	16585
185	hilton	16567
186	probably	16524
187	el	16470
188	card	16405
189	extra	16375
190	loud	16339
191	high	16332
192	ask	16320
193	20	16261
194	near	16145
195	located	16119
196	later	16061
197	window	16002
198	husband	15976
199	noisy	15898
