	Word	Count
0	hotel	1094120
1	room	758240
2	great	456230
3	staff	386582
4	stay	385891
5	nice	283377
6	location	283071
7	rooms	270462
8	good	270244
9	clean	252453
10	stayed	244240
11	service	216661
12	breakfast	209748
13	just	196428
14	night	187243
15	friendly	185688
16	time	176335
17	comfortable	173792
18	area	154655
19	helpful	154513
20	free	141503
21	day	140954
22	really	140274
23	place	136000
24	bed	135611
25	like	130729
26	small	130626
27	desk	130559
28	walk	128555
29	new	122933
30	la	117983
31	did	117908
32	floor	115667
33	street	111471
34	check	110622
35	restaurant	108439
36	bathroom	107798
37	excellent	107471
38	little	107095
39	city	105533
40	square	104891
41	right	104508
42	lobby	104418
43	times	104374
44	view	101401
45	hotels	101122
46	bar	100366
47	parking	100053
48	recommend	96653
49	close	95641
50	food	92985
51	restaurants	92736
52	didn	90116
53	got	88045
54	large	87958
55	pool	87101
56	away	86808
57	best	86461
58	definitely	85656
59	walking	85432
60	nights	84341
61	price	82479
62	beds	79992
63	park	78334
64	trip	78282
65	coffee	75547
66	wonderful	74265
67	perfect	72610
68	bit	71449
69	people	70618
70	quiet	69639
71	downtown	69351
72	york	68618
73	business	68468
74	way	68069
75	morning	67070
76	san	65664
77	car	65528
78	easy	64563
79	suite	64087
80	nyc	63797
81	door	63375
82	staying	61665
83	experience	61561
84	big	61557
85	distance	61556
86	want	60899
87	und	60870
88	located	60693
89	make	60451
90	don	60192
91	spacious	59384
92	loved	58302
93	went	58159
94	center	57589
95	beautiful	57069
96	minutes	56658
97	overall	56428
98	quite	56108
99	10	56041
100	use	55965
101	internet	55636
102	shower	55354
103	tv	54657
104	noise	54632
105	booked	54564
106	size	54553
107	better	54206
108	en	54005
109	blocks	53718
110	central	53264
111	airport	53139
112	need	53028
113	enjoyed	52895
114	water	52220
115	weekend	51889
116	shopping	51289
117	ve	50355
118	et	50302
119	feel	49903
120	visit	49748
121	le	49669
122	lot	49665
123	family	49142
124	old	47731
125	building	47726
126	arrived	47606
127	sure	47521
128	say	47509
129	extremely	46892
130	subway	46866
131	took	46738
132	going	46069
133	die	45895
134	reviews	45779
135	amazing	45377
136	station	44975
137	das	44832
138	fantastic	44742
139	rate	44314
140	days	44090
141	modern	43968
142	concierge	43376
143	inn	43213
144	lovely	43087
145	long	42987
146	near	42778
147	hot	42648
148	value	42097
149	convenient	41782
150	problem	41270
151	block	41180
152	looking	40852
153	think	40818
154	high	40676
155	needed	40111
156	early	40076
157	husband	40033
158	outside	39814
159	king	39768
160	especially	39336
161	highly	39299
162	huge	39078
163	happy	38975
164	pretty	38902
165	able	38664
166	pleasant	38613
167	access	38385
168	home	38215
169	short	38072
170	corner	37959
171	lots	37957
172	come	37772
173	dinner	37658
174	ist	37574
175	return	37467
176	chicago	37381
177	evening	37306
178	thing	37038
179	available	36868
180	space	36830
181	es	36749
182	felt	36723
183	der	36639
184	things	36611
185	town	36603
186	valet	36447
187	wanted	36375
188	property	36165
189	plenty	36165
190	que	36149
191	super	36093
192	minute	35955
193	used	35747
194	couple	35253
195	places	35225
196	reception	35070
197	plus	35040
198	asked	35024
199	know	34961
